Time,numTrans
7/10/11 0:00,8057
7/12/11 0:00,8795
7/14/11 0:00,8419
7/16/11 0:00,7821
7/18/11 0:00,8185
7/20/11 0:00,8545
7/22/11 0:00,8437
7/24/11 0:00,7866
7/26/11 0:00,8401
7/28/11 0:00,7818
7/30/11 0:00,6854
8/1/11 0:00,8032
8/3/11 0:00,8054
8/5/11 0:00,7308
8/7/11 0:00,6725
8/9/11 0:00,8638
8/11/11 0:00,8116
8/13/11 0:00,7386
8/15/11 0:00,8347
8/17/11 0:00,8128
8/19/11 0:00,7787
8/21/11 0:00,7355
8/23/11 0:00,7425
8/25/11 0:00,7082
8/27/11 0:00,6988
8/29/11 0:00,7807
8/31/11 0:00,7280
9/2/11 0:00,6917
9/4/11 0:00,6612
9/6/11 0:00,7705
9/8/11 0:00,6481
9/10/11 0:00,6453
9/12/11 0:00,6422
9/14/11 0:00,6515
9/16/11 0:00,6042
9/18/11 0:00,5775
9/20/11 0:00,7420
9/22/11 0:00,6808
9/24/11 0:00,6231
9/26/11 0:00,5917
9/28/11 0:00,5795
9/30/11 0:00,5762
10/2/11 0:00,5145
10/4/11 0:00,5316
10/6/11 0:00,6004
10/8/11 0:00,5604
10/10/11 0:00,5530
10/12/11 0:00,6498
10/14/11 0:00,5676
10/16/11 0:00,4878
10/18/11 0:00,5562
10/20/11 0:00,4708
10/22/11 0:00,4820
10/24/11 0:00,5919
10/26/11 0:00,5307
10/28/11 0:00,5111
10/30/11 0:00,4888
11/1/11 0:00,5885
11/3/11 0:00,5746
11/5/11 0:00,6575
11/7/11 0:00,5329
11/9/11 0:00,6627
11/11/11 0:00,5439
11/13/11 0:00,5088
11/15/11 0:00,6442
11/17/11 0:00,5596
11/19/11 0:00,4909
11/21/11 0:00,5044
11/23/11 0:00,5620
11/25/11 0:00,5374
11/27/11 0:00,4794
11/29/11 0:00,6529
12/1/11 0:00,6735
12/3/11 0:00,5533
12/5/11 0:00,6347
12/7/11 0:00,7119
12/9/11 0:00,5686
12/11/11 0:00,5240
12/13/11 0:00,5515
12/15/11 0:00,5476
12/17/11 0:00,4819
12/19/11 0:00,5200
12/21/11 0:00,5667
12/23/11 0:00,5740
12/25/11 0:00,5307
12/27/11 0:00,5571
12/29/11 0:00,5023
12/31/11 0:00,5357
1/2/12 0:00,5809
1/4/12 0:00,5636
1/6/12 0:00,6361
1/8/12 0:00,6290
1/10/12 0:00,6589
1/12/12 0:00,6943
1/14/12 0:00,6734
1/16/12 0:00,6685
1/18/12 0:00,7215
1/20/12 0:00,6718
1/22/12 0:00,5259
1/24/12 0:00,6817
1/26/12 0:00,6736
1/28/12 0:00,6095
1/30/12 0:00,6019
2/1/12 0:00,6900
2/3/12 0:00,6943
2/5/12 0:00,6616
2/7/12 0:00,6799
